Yr,Day,Hr,Mn,Sec,Fr,Code,Sig,Latitude,Longitude,GpsAge
5,214,9,36,46,8245,240,99,61.59479,-144.435815,1
5,214,9,36,47,8245,240,101,61.59433667,-144.43513,0
5,214,9,36,48,8245,240,99,61.59410833,-144.4347917,0
5,214,9,37,2,8364,130,121,61.59091167,-144.4300567,1
5,214,9,37,2,8364,130,121,61.59091167,-144.4300567,1
5,214,9,37,25,8165,230,120,61.58518667,-144.423315,1
5,214,9,37,26,8165,230,121,61.58492167,-144.4230783,1
5,214,9,37,37,8245,240,116,61.58201833,-144.4204133,1
5,214,9,37,38,8245,240,116,61.58176333,-144.4201633,1
5,214,9,37,55,8364,130,112,61.577305,-144.4161067,1
5,214,9,37,56,8364,130,109,61.57702,-144.4158967,1
5,214,9,38,18,8165,230,118,61.57058833,-144.4123633,1
5,214,9,38,19,8165,230,120,61.57029,-144.4122167,1
5,214,9,38,36,8245,240,101,61.56526667,-144.4098383,1
5,214,9,38,36,8245,240,99,61.56526667,-144.4098383,1
5,214,9,38,37,8245,240,100,61.564965,-144.4097017,1
5,214,9,38,55,8364,130,101,61.55966833,-144.4071183,0
5,214,9,38,56,8364,130,100,61.55937667,-144.4069633,1
5,214,9,38,58,8364,130,97,61.55878333,-144.4066617,1
5,214,9,38,59,8364,130,103,61.558485,-144.4065167,1
5,214,9,39,0,8364,130,98,61.55818333,-144.406375,1
5,214,9,39,1,8364,130,95,61.55788,-144.4062383,1
5,214,9,39,2,8364,130,97,61.55757667,-144.406105,1
5,214,9,39,37,8165,230,100,61.54700833,-144.4020967,0
5,214,9,39,38,8165,230,101,61.54668833,-144.4020533,0
5,214,9,39,45,8205,20,104,61.54447667,-144.401705,0
5,214,9,39,45,8205,20,109,61.54447667,-144.401705,0
5,214,9,40,13,8383,30,98,61.53606333,-144.4000583,1
5,214,9,40,23,8066,13,133,61.53259333,-144.40067,0
5,214,9,40,24,8066,10,134,61.532285,-144.4007517,0
5,214,9,40,40,8205,20,120,61.52730333,-144.4009217,0
5,214,9,40,40,8205,20,117,61.52730333,-144.4009217,0
5,214,9,40,41,8205,20,116,61.52698667,-144.4008633,0
5,214,9,41,2,8383,30,107,61.52105667,-144.396305,1
5,214,9,41,3,8383,30,106,61.52081,-144.3958667,0
5,214,9,41,19,8066,10,104,61.51742333,-144.38664,1
5,214,9,41,19,8066,10,110,61.51742333,-144.38664,1
5,214,9,41,20,8066,10,105,61.51728167,-144.3859883,1
5,214,9,53,38,8126,50,97,61.40137667,-144.0352633,1
5,214,9,53,39,8126,50,105,61.40125333,-144.0346917,1
5,214,9,53,40,8126,50,108,61.40113,-144.0341233,1
5,214,9,54,23,8126,50,106,61.39610667,-144.0092417,0
5,214,9,54,24,8126,50,109,61.39600667,-144.0086417,0
5,214,11,18,41,8265,240,101,61.35084167,-143.2381517,0
5,214,11,18,42,8265,240,107,61.35108333,-143.2385667,0
5,214,11,18,43,8265,240,104,61.351325,-143.2389867,0
